effect,component,term,estimate,std.error,conf.low,conf.high
fixed,disp,dispersal_agentanimal,0.652157323520537,0.39564090076093,-0.0484262858465103,1.50590770042967
fixed,disp,dispersal_agentwind,0.453272899991388,0.34835372273397,-0.174377965660809,1.18433320759658
fixed,disp,dispersal_agentmixed,-0.67078082084228,0.580629772015987,-1.78424901085131,0.478797202464962
fixed,disp,dispersal_agentwater,-1.53300685435653,0.821194221315925,-3.17482568101222,0.0298512336704892
fixed,disp,dispersal_agentballistic,-1.09654984486595,1.11818871883673,-3.33944972414935,1.05381050330674
fixed,disp,dispersal_agentunassisted,-1.22596702355934,0.717340876356838,-2.65301259411266,0.167827712494316
fixed,cond,settingUrban,-0.581112284884158,0.492593890232062,-1.62379709422158,0.294694948533975
fixed,disp,dispersal_agentwind:settingUrban,-1.12467460761281,0.485525373093514,-2.08519936133573,-0.183794911717121
fixed,disp,dispersal_agentmixed:settingUrban,-0.0586277110867337,0.592865939422824,-1.22158459695567,1.11336420633442
fixed,disp,dispersal_agentwater:settingUrban,-0.631374435048105,1.03222652854688,-2.65801633057034,1.37871291427567
fixed,disp,dispersal_agentballistic:settingUrban,-1.12089873142408,1.11712702117357,-3.31840610001404,1.0920323584823
fixed,disp,dispersal_agentunassisted:settingUrban,-0.634283092172891,0.83350419262698,-2.27348561540265,1.00267671744981
