site,lon,lat
bg1,149.330175658688,5.11013489216566
bg2,157.34714878723,26.3498191908002
bg3,-76.9897674769163,60.1288249762729
bg4,118.961145384237,-27.762740473263
bg5,51.0283868014813,21.9119269307703
bg6,6.87454168684781,29.3751531047747
bg7,85.1717932708561,-9.98849926516414
bg8,-131.520024994388,43.2398034771904
bg9,56.5172245446593,-23.0229919496924
bg10,73.8233222533017,-82.5542456936091
bg11,-15.2129605505615,-8.51163596380502
bg12,78.8804105948657,65.2760628657416
bg13,156.482008974999,56.5597846219316
bg14,-88.0456232372671,-60.0193331809714
bg15,-13.5745838843286,15.0481864577159
bg16,158.405228191987,56.266491478309
bg17,172.161514218897,-33.7502155825496
bg18,-137.70454980433,-42.1858278103173
bg19,-9.00105063803494,-15.6976639665663
bg20,21.7197886481881,-58.6188281374052
bg21,145.451299427077,-88.0504357907921
bg22,-130.06433961913,82.5563856353983
bg23,176.00102241151,19.6337282052264
bg24,160.800563720986,42.4389935983345
bg25,-150.322479084134,60.2866997569799
bg26,5.1162423659116,72.2595571819693
bg27,-39.5267518423498,-66.9862856855616
bg28,146.065727127716,-18.8797411462292
bg29,-19.0909338835627,6.88901987392455
bg30,120.961533598602,-57.710831318982
bg31,85.5344223976135,-33.5314540285617
bg32,111.979850856587,-62.1427984116599
bg33,-40.2810181863606,-51.2583003100008
bg34,66.6611025854945,42.0294883428141
bg35,-178.578598033637,6.29964291583747
bg36,119.849788891152,26.9087689602748
bg37,-177.359707122669,-48.7910017836839
bg38,-105.242769783363,48.638156647794
bg39,146.376506807283,-5.54942063055933
bg40,40.2403116412461,41.3202822720632
bg41,-43.3586734067649,73.2829801831394
bg42,-23.1222294084728,-40.173954796046
bg43,-166.524828169495,-82.002933556214
bg44,170.474368957803,-53.0887225968763
bg45,-24.5695503987372,-44.9421158339828
bg46,164.727574791759,56.7393189948052
bg47,139.591765981168,-29.9331899173558
bg48,50.3923570085317,57.8766961907968
bg49,169.54797972925,70.9128825226799
bg50,42.7817546389997,-79.5793211320415
bg51,-59.9662039428949,56.0915078502148
bg52,-55.1706306450069,-58.9719140063971
bg53,-36.5452518872917,-4.15487847290933
bg54,102.489399248734,50.1483703264967
bg55,-165.982863195241,-70.2269364427775
bg56,89.5663390215486,51.5289821801707
bg57,63.8196588680148,19.5155944582075
bg58,-118.344841059297,84.0297761047259
bg59,-86.0083330236375,7.33088103588671
bg60,5.18865647725761,-21.5353297814727
bg61,63.2186188269407,34.5760070113465
bg62,173.814191250131,68.8143133884296
bg63,93.4359363187104,0.165178310126066
bg64,23.9358326699585,62.2121113026515
bg65,125.888298684731,-75.5391826154664
bg66,-111.789383254945,28.3394781919196
bg67,-82.3368187062442,-20.3609332814813
bg68,118.137054685503,-52.2829891461879
bg69,69.5537353400141,78.014571480453
bg70,-93.4038937278092,74.8410999169573
bg71,-164.524033432826,-81.4705732790753
bg72,-129.427526118234,27.2934566577897
bg73,-102.101250579581,10.8186029735953
bg74,-7.41651688702405,6.83454466983676
bg75,-108.932276777923,79.8864999879152
bg76,78.9681015629321,-0.260790092870593
bg77,-177.161494055763,-31.465529683046
bg78,-44.8236127384007,-3.00755992066115
bg79,5.18677499145269,34.7773066302761
bg80,-179.434600481764,48.0088279349729
bg81,29.3774409033358,-33.226196472533
bg82,-123.154125055298,-84.3027510121465
bg83,-50.7498098909855,28.6769799236208
bg84,52.4274762254208,-51.7639490962029
bg85,99.296410549432,-73.575224080123
bg86,22.9128629621118,86.7860374739394
bg87,-95.8667764998972,-41.8935015192255
bg88,-147.607014114037,-33.7068826099858
bg89,-149.179656626657,64.3464935850352
bg90,-70.1213869918138,-52.5284511689097
bg91,60.2735452819616,88.00088474527
bg92,-179.913997231051,50.1480560470372
bg93,-104.914815500379,-29.6414599986747
bg94,155.892285844311,21.8527719425038
bg95,153.232109500095,26.2759885378182
bg96,84.2739483620971,-80.2066707937047
bg97,-60.0940859690309,69.7655022377148
bg98,5.42279873974621,28.56160948053
bg99,87.830872675404,-15.9673303272575
bg100,42.8973264154047,-27.6211328292266
bg101,45.4483240284026,10.416274513118
bg102,-101.823228634894,-49.8549581179395
bg103,-102.0357680507,49.574925689958
bg104,-39.9797896854579,41.1671744054183
bg105,159.284049114212,-88.454525959678
bg106,166.53888495639,83.5060904687271
bg107,86.3479005172849,42.2541629523039
bg108,83.9685260597616,-52.2203215118498
bg109,12.8740643989295,-55.3877011919394
bg110,-179.181732209399,-86.797745777294
bg111,39.2174829170108,7.79202757403255
bg112,121.248561395332,-76.986572756432
bg113,90.5481225717813,-22.7427424723282
bg114,-17.0166338793933,48.9622475020587
bg115,12.8843977767974,-5.48841206822544
bg116,13.4556103125215,-58.5119854845107
bg117,-179.502896312624,57.892872299999
bg118,-51.9602566212416,86.5950299939141
bg119,40.3679124545306,22.7294824272394
bg120,118.419166998938,1.12698895856738
bg121,-51.5800802316517,-35.2490706508979
