site,id,lon,lat,lat_cdeg,taxon.name,quality_grade,presence,CHELSA_bio7,CHELSA_npp_1981-2010_V.2.1,CHELSA_bio3,LAI,is_island,CHELSA_bio6,CHELSA_vpd_max_1981-2010_V.2.1,access_min,CHELSA_fgd_1981-2010_V.2.1,CHELSA_sfcWind_max_1981-2010_V.2.1,forest_age,CHELSA_bio15
S01,no_id,5.43411,52.45567,3.3575628825,no_taxon,no_taxon,0,20,1300.5,0.283999991416931,2.23573398590088,0,0.950000000000045,777.2,7,,4.35,50.4416313171387,16.3
S02,no_id,5.42394,52.47335,3.3752428825,no_taxon,no_taxon,0,19.9,1298.5,0.28199999332428,3.56702375411987,0,0.950000000000045,774.5,12,,4.986,52.8280029296875,16.6
S02,270991012,5.42394,52.47335,3.3752428825,Fagus sylvatica,research,1,19.9,1298.5,0.28199999332428,3.56702375411987,0,0.950000000000045,774.5,12,,4.986,52.8280029296875,16.6
S03,no_id,4.5816766,52.3742974,3.2761902825,no_taxon,no_taxon,0,17.2,1367.7,0.219000005722046,,0,2.15000000000003,734.5,2,,4.117,62.7327461242676,24.2
S03,277630707,4.5816766,52.3742974,3.2761902825,Dryopteris,needs_id,1,17.2,1367.7,0.219000005722046,,0,2.15000000000003,734.5,2,,4.117,62.7327461242676,24.2
S03,272403824,4.5816766,52.3742974,3.2761902825,Dryopteris dilatata,needs_id,1,17.2,1367.7,0.219000005722046,,0,2.15000000000003,734.5,2,,4.117,62.7327461242676,24.2
S03,272402245,4.5816766,52.3742974,3.2761902825,Hedera helix,needs_id,1,17.2,1367.7,0.219000005722046,,0,2.15000000000003,734.5,2,,4.117,62.7327461242676,24.2
S04,no_id,4.4632246,52.1261161,3.0280089825,no_taxon,no_taxon,0,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277653936,4.4632246,52.1261161,3.0280089825,Euonymus,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277653940,4.4632246,52.1261161,3.0280089825,Euonymus europaeus,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277653938,4.4632246,52.1261161,3.0280089825,Prunus padus,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277653933,4.4632246,52.1261161,3.0280089825,Cornus sanguinea,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277653935,4.4632246,52.1261161,3.0280089825,Apioideae,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277655040,4.4632246,52.1261161,3.0280089825,Glechoma,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277655038,4.4632246,52.1261161,3.0280089825,Glechoma,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277655750,4.4632246,52.1261161,3.0280089825,Anthriscus sylvestris,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
S04,277655749,4.4632246,52.1261161,3.0280089825,Anthriscus sylvestris,needs_id,1,18.8,1349.7,0.273000001907349,4.59999990463257,0,1.55000000000001,764.1,0,,4.569,44.1095237731934,20.9
